"","PlotNumber","Site","ProjectID","Year","SiteSurveyor","Latitude","Longitude","Elevation","RelocationConfidence","Species","Functional_group","Cover"
"144","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","ALNUINC","tree",1.5
"145","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","ROSANUT","shrub",2.5
"146","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","SPIRLUC","shrub",0.15
"147","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","VACCCAE","shrub",0.1
"148","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","RUBUSPE","shrub",0.25
"149","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","SORBSCO","shrub",0
"150","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","SYMPALB","shrub",0.15
"151","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","CHAMANG","herb",47.5
"152","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","ACHIMIL","herb",0.25
"153","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","MAIARAC","herb",0.7
"154","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","GALIAPA","herb",0.45
"155","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","LINNBOR","shrub",1.7
"156","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","CORNCAN","herb",0.6
"157","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","CLINUNI","herb",0.4
"158","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","ANAPMAR","herb",0.45
"159","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","EQUIARV","herb",1.65
"160","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","LILICOL","herb",0.05
"161","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","VERAVIR","herb",0.4
"162","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","STRELAN","herb",0.1
"163","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","OSMOPUR","herb",0.05
"164","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","FRAGVIR","herb",0
"165","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","SILEMEN","herb",0.3
"166","14-4311_2025","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05761504,-120.726075,1130.973145,"High","HIERALB","herb",0
"167","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","ABIELAS","tree",0.25
"168","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","PINUCON","tree",0.25
"169","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","PICEENG","tree",0.5
"170","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","POPUTRI","tree",0.1
"171","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","ALNUCRI","shrub",1
"172","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","LONIINV","shrub",0.3
"173","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","AMELALN","shrub",1.25
"174","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","SPIRLUC","shrub",0.4
"175","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","VACCSCO","shrub",0.1
"176","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","VACCULG","shrub",0.5
"177","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","ROSANUT","shrub",2.7
"178","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","CORNSER","shrub",0.5
"179","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","SYMPALB","shrub",1.15
"180","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","PAXIMYR","shrub",0.5
"181","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","SORBSCO","shrub",0.2
"182","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","RIBELAC","shrub",0.5
"183","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","CHAMANG","herb",17.5
"184","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","EQUIARV","herb",3.5
"185","14-4311_Error","14-4311","Manning Park Project 2025",2025,"CML RNW",49.05797303,-120.725423,1128.22998,"High","EURYCON","herb",4
